20170504,08:05,09:05,10:05
20170504,08:10,09:25,10:25
20170504,08:15,09:45,10:45
20170504,08:20,10:20,11:20
20170504,08:25,10:45,11:45
20170504,08:30,11:15,12:15
20170504,08:35,11:45,12:45
20170504,08:40,12:05,13:05
20170504,08:45,12:35,13:35
20170504,08:50,12:55,13:55
20170504,08:56,13:15,14:15
20170504,09:00,13:35,14:35
20170504,09:05,14:05,15:05
20170504,09:10,14:25,15:25
20170504,09:15,14:55,15:55
20170504,09:20,15:15,16:15
20170504,09:25,15:40,16:40
20170504,09:30,16:00,17:00
20170504,09:35,16:25,17:25
20170504,09:40,16:40,17:40
20170504,09:45,17:10,18:10
20170504,09:50,17:25,18:25
20170504,09:55,17:40,18:40
20170504,10:00,17:45,18:45
20170504,10:05,17:55,18:55
20170504,10:10,18:15,19:15
20170504,10:15,18:35,19:35
20170504,10:20,18:50,19:45
20170504,10:25,19:05,19:45
20170504,10:30,19:15,19:45
20170504,10:35,20:55,21:55
20170504,10:40,21:10,22:00
20170504,10:45,21:30,22:00
20170504,10:50,21:40,22:00
