id,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00
0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,,,,,,
1.0,23.0,38.0,27.0,24.0,25.0,9.0,23.0,30.0,22.0,19.0,5.0,5.0,5.0,5.0
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,
4.0,2.0,21.0,27.0,25.0,20.0,15.0,15.0,13.0,10.0,16.0,9.0,0.0,0.0,0.0
5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,
6.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,
8.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,,
9.0,136.0,122.0,107.0,100.0,98.0,110.0,138.0,131.0,116.0,98.0,61.0,60.0,38.0,
10.0,4.0,5.0,5.0,5.0,5.0,13.0,15.0,25.0,,,,,,
11.0,51.0,65.0,70.0,63.0,53.0,58.0,50.0,50.0,49.0,43.0,36.0,39.0,26.0,20.0
12.0,38.0,43.0,36.0,33.0,35.0,36.0,31.0,35.0,34.0,24.0,11.0,14.0,9.0,5.0
13.0,25.0,36.0,35.0,24.0,23.0,28.0,16.0,25.0,20.0,13.0,10.0,10.0,10.0,10.0
14.0,29.0,40.0,23.0,28.0,24.0,26.0,19.0,30.0,26.0,25.0,14.0,5.0,7.0,5.0
15.0,1.0,25.0,25.0,47.0,43.0,43.0,43.0,40.0,37.0,30.0,25.0,24.0,10.0,10.0
16.0,8.0,10.0,12.0,15.0,13.0,15.0,11.0,15.0,12.0,6.0,5.0,5.0,5.0,5.0
17.0,48.0,47.0,49.0,77.0,80.0,53.0,58.0,73.0,75.0,39.0,11.0,13.0,13.0,13.0
19.0,19.0,29.0,20.0,11.0,20.0,16.0,12.0,25.0,25.0,19.0,8.0,5.0,5.0,5.0
21.0,41.0,51.0,42.0,40.0,36.0,40.0,36.0,43.0,41.0,28.0,11.0,5.0,6.0,5.0
22.0,21.0,26.0,22.0,25.0,32.0,32.0,31.0,24.0,16.0,5.0,5.0,5.0,5.0,5.0
23.0,65.0,69.0,65.0,60.0,54.0,54.0,43.0,60.0,60.0,56.0,36.0,35.0,35.0,
24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27.0,57.0,56.0,43.0,50.0,74.0,66.0,51.0,71.0,64.0,50.0,24.0,22.0,15.0,15.0
28.0,119.0,138.0,99.0,83.0,84.0,99.0,103.0,117.0,97.0,106.0,86.0,78.0,45.0,
29.0,110.0,140.0,81.0,82.0,88.0,96.0,76.0,93.0,77.0,73.0,79.0,43.0,38.0,20.0
30.0,25.0,30.0,45.0,43.0,35.0,43.0,45.0,43.0,40.0,40.0,40.0,30.0,30.0,30.0
32.0,148.0,132.0,106.0,110.0,99.0,113.0,110.0,107.0,94.0,78.0,52.0,63.0,43.0,20.0
33.0,22.0,38.0,40.0,31.0,30.0,30.0,25.0,34.0,35.0,30.0,25.0,,,
34.0,26.0,30.0,30.0,20.0,22.0,26.0,14.0,26.0,21.0,12.0,8.0,5.0,5.0,5.0
35.0,15.0,33.0,30.0,29.0,30.0,35.0,28.0,31.0,29.0,20.0,10.0,5.0,5.0,5.0
36.0,69.0,48.0,38.0,35.0,35.0,32.0,26.0,39.0,31.0,23.0,15.0,15.0,15.0,
